pubchem_id,fema_flavor_profile
4,Not Available
47,Fruit
49,Not Available
51,Not Available
58,Savory
70,Fruit
107,Not Available
119,Savory
125,Nuts
126,Roast
135,Not Available
176,"Acid, Fruit, Pungent, Sour, Vinegar"
177,"Floral, Green Apple"
178,Not Available
179,"Butter, Creamy, Green Pepper"
180,Pungent
196,Not Available
239,Not Available
240,"Bitter Almond, Burnt Sugar, Cherry, Malt, Roasted Pepper"
243,"Pungent, Sour"
244,"Boiled Cherries, Moss, Roasted Bread, Rose"
247,"Savory, Umami"
261,"Banana, Green, Pungent"
262,Not Available
263,Fruit
264,"Butter, Cheese, Sour"
284,Savory
311,Not Available
313,Not Available
323,Not Available
325,"Herb, Wood"
326,"Acid, Green, Herb, Sharp"
332,"Clove, Curry, Spice"
335,Not Available
338,Not Available
342,Not Available
356,Not Available
379,"Cheese, Fat, Grass, Oil"
402,Not Available
454,"Citrus, Fat, Green, Oil, Pungent"
460,"Burnt, Phenol, Wood"
473,Not Available
527,"Floral, Pungent, Solvent"
602,Not Available
612,Not Available
650,"Butter, Pastry, Yeast"
660,Dairy
670,"Mint, Cool"
674,Not Available
679,Garlic
702,Not Available
750,Not Available
753,Not Available
785,Not Available
791,Nuts
798,"Burnt, Mothball"
875,Not Available
876,Savory
878,"Cabbage, Garlic, Pungent, Sulfur"
880,Savory
887,Not Available
931,Not Available
948,Not Available
957,"Bitter Almond, Burnt Matches, Fat, Floral"
964,Savory
971,Not Available
985,Not Available
994,Not Available
996,Not Available
997,Not Available
998,"Berry, Geranium, Honey, Nut, Pungent"
999,"Caramel, Floral, Flower, Honey"
1001,Not Available
1004,Not Available
1030,Not Available
1031,"Alcohol, Candy, Pungent"
1032,"Fat, Fruit, Pungent, Silage, Soy"
1049,Not Available
1060,Not Available
1068,"Cabbage, Organic, Sulfur, Wet Earth"
1103,Not Available
1119,Not Available
1123,Not Available
1136,"Nuts, Sulfur"
1140,Not Available
1145,Not Available
1146,Not Available
1182,Not Available
1183,Vanilla
1213,Not Available
1491,Not Available
2214,Not Available
2345,"Balsamic, Herb, Oil"
2346,Not Available
2519,Not Available
2682,"Flower, Wax"
2758,"Camphor, Cool, Eucalyptol, Mint"
2879,"Pungent, Stable"
2969,"Dust, Fat, Grass"
2998,Savory
3026,Not Available
3102,Floral
3314,"Burnt, Clove, Spice"
3776,Floral
3893,Not Available
4133,"Almond, Caramel, Peppermint, Sharp"
4276,Not Available
4650,Not Available
4788,Not Available
4837,Savory
4947,Not Available
5054,Floral
5144,Not Available
5281,Dairy
5429,Not Available
5541,Mouthfeel
5610,Savory
5634,Floral
5780,Not Available
5862,Savory
5960,Not Available
5961,Dairy
5962,Not Available
5971,"Garlic, Pungent, Sulfur"
6050,Not Available
6054,"Fruit, Honey, Lilac, Rose, Wine"
6057,Not Available
6106,Not Available
6116,Not Available
6140,Not Available
6184,"Apple, Fat, Fresh, Green, Oil"
6202,Not Available
6224,Not Available
6274,Not Available
6276,"Balsamic, Fruit, Green, Pungent, Yeast"
6322,Not Available
6341,Not Available
6343,"Earth, Onion, Rubber, Sulfur"
6344,Not Available
6354,Not Available
6363,Not Available
6448,"Floral,Green,Herb, Pine"
6501,Fruit
6505,Floral
6506,Fruit
6532,Fruit
6544,"Cedarwood, Spice"
6548,Green
6549,"Coriander, Floral, Lavender, Lemon, Rose"
6558,Not Available
6560,"Apple, Bitter, Cocoa, Wine"
6561,"Burnt, Caramel, Cocoa, Green, Malt"
6568,Not Available
6569,"Fragrant, Fruit, Pleasant"
6584,"Ester, Green"
6590,"Burnt, Butter, Cheese, Sweat"
6616,"Camphor, Mothball, Oil, Warm"
6654,"Cedarwood, Pine, Sharp"
6658,"Pungent, Sulfur"
6736,Not Available
6781,Not Available
6782,Not Available
6826,"Floral, Must"
6873,Floral
6874,Fruit
6877,Floral
6885,Not Available
6915,Fruit
6943,Heat
6949,Not Available
6985,Floral
6986,"Green, Fresh, Mint@Mint, Cool"
6989,"Spice, Wood"
6998,"Almond, Phenol, Pungent, Spice"
7002,Not Available
7017,Not Available
7041,Phenol
7043,"Earth, Moss, Wood"
7047,Not Available
7055,Not Available
7058,Savory
7059,Not Available
7092,Not Available
7095,Floral
7119,Not Available
7122,Not Available
7127,Not Available
7129,Floral
7136,Floral
7144,Phenol
7146,Floral
7147,Floral
7148,Fruit
7150,"Herb, Lettuce, Prune, Violet"
7151,Heat
7165,"Camomile, Celery, Fat, Flower, Fruit"
7170,Fruit
7175,Not Available
7184,Not Available
7193,Balsamic
7194,Not Available
7197,Not Available
7222,"Nut, Rubber"
7225,Not Available
7237,Not Available
7247,Not Available
7249,Phenol
7267,Not Available
7283,Not Available
7284,"Almond, Cocoa, Fermented, Hazelnut, Malt"
7302,"Caramel, Cheese, Roasted Nut"
7304,Not Available
7311,Not Available
7335,"Green, Spearmint"
7336,Fruit
7341,Dairy
7342,Not Available
7344,"Cheese, Floral, Fruit, Pungent, Rubber"
7351,Fruit
7353,Fruit
7359,Fruit
7360,Nuts
7361,"Burnt, Caramel, Cooked"
7362,"Almond, Baked Potatoes, Bread, Burnt, Spice"
7363,"Coffee, Roasted Meat"
7364,Not Available
7393,Not Available
7409,"Floral, Honey, Rose"
7410,"Almonds, Flower, Meat, Must"
7413,Fruit
7438,"Caraway, Fat, Fresh, Spearmint"
7439,"Basil, Bitter, Caraway, Fennel, Mint"
7456,Not Available
7459,Not Available
7460,"Citrus, Fresh, Mint, Pepper, Spice, Wood"
7461,"Bitter, Citrus"
7462,Lemon
7463,"Citrus, Fresh, Solvent"
7469,Not Available
7476,Bitter
7478,Savory
7500,Not Available
7501,Not Available
7507,Not Available
7509,Savory
7519,Not Available
7520,Floral
7531,Floral
7559,"Honey, Jasmine"
7583,Green
7590,"Floral, Fruit, Honey, Rose"
7593,Cut Grass
7599,Floral
7600,Floral
7601,Floral
7616,Not Available
7632,Floral
7633,Floral
7643,"Flower, Fruit"
7646,Fruit
7650,"Melon, Peach, Plum"
7651,Fruit
7654,"Flower, Honey, Rose"
7655,Green
7657,Fruit
7658,Floral
7662,Fruit
7663,Fruit
7664,Floral
7668,Not Available
7685,Floral
7695,Fruit
7702,Floral
7704,"Coconut, Fruit"
7707,Green
7708,Fruit
7710,Not Available
7711,Green
7714,"Apricot, Fruit"
7720,"Green, Rose"
7725,Not Available
7728,Savory
7731,Floral
7733,Floral
7738,"Flower, Herb"
7742,Not Available
7749,"Apple, Pineapple, Rum, Strawberry"
7755,Savory
7761,Apple
7762,"Apple, Butter, Cheese, Pineapple, Strawberry"
7765,"Creamy, Fruit, Pleasant, Tropical Fruit"
7768,Spice
7770,"Apricot, Fruit, Pineapple, Solvent"
7772,"Apple, Apricot, Pineapple"
7775,"Green, Spice"
7778,Fruit
7781,Floral
7792,Floral
7794,"Citrus, Fat, Leaf"
7795,Fruit
7797,"Brandy, Fruit, Wine"
7799,"Apricot, Brandy, Fat, Floral, Pineapple"
7800,"Floral, Fruit, Leaf"
7802,Cool
7803,"Apple, Banana, Pineapple"
7809,Not Available
7820,Fruit
7824,"Ester, Fresh, Fruit, Pineapple"
7826,Green
7845,Not Available
7847,Not Available
7848,"Cabbage, Onion"
7852,Not Available
7888,Floral
7894,Not Available
7895,"Fruit, Pungent"
7896,Not Available
7909,Not Available
7915,Banana
7918,Not Available
7921,Herb
7929,Not Available
7936,Green
7937,Savory
7938,"Cocoa, Coffee, Green, Roast Beef, Roasted Nut"
7945,"Apple, Fruit, Pineapple, Sour"
7947,Not Available
7957,Green
7958,Fruit
7962,Not Available
7964,Not Available
7967,"Mint, Cool"
7969,Penetrating
7974,Not Available
7975,Not Available
7976,"Cocoa, Green, Hazelnut, Popcorn, Roasted"
7981,Fruity
7983,Floral
7986,Fruit
7991,"Cheese, Pungent"
7997,"Celery, Floral, Pear, Red Fruit"
8007,Not Available
8012,Savory
8013,Savory
8025,Pungent
8026,Not Available
8027,Nut
8028,Not Available
8038,"Apple, Banana, Floral, Herb"
8042,Dairy
8048,"Brandy, Grape, Pear"
8049,Fruit
8050,Not Available
8051,"Blue Cheese, Fruit, Green, Nut, Spice"
8052,Apple
8060,Not Available
8063,"Almond, Bitter, Malt, Oil, Pungent"
8067,Savory
8073,Fruit
8077,"Cabbage, Carbide, Roasted Onion, Rubber, Sulfur"
8082,Floral
8091,"Fruit, Orange, Wax, Wine"
8092,Green
8093,"Fat, Fragrant, Mold"
8094,"Apricot, Floral, Sour"
8102,Not Available
8103,"Banana, Flower, Grass, Herb"
8106,Sulfur
8122,Not Available
8125,Not Available
8129,Not Available
8130,"Citrus, Fat, Green, Nut"
8137,Green
8138,Floral
8139,Not Available
8141,Not Available
8158,"Fat, Green, Sour"
8159,"Floral, Fresh"
8160,Not Available
8163,"Fresh, Green, Orange, Rose"
8164,Not Available
8167,"Oil, Orange"
8169,Floral
8174,"Fat, Oil"
8175,"Floral, Fried, Orange Peel, Penetrating, Tallow"
8176,Floral
8180,Oil
8181,Not Available
8182,Not Available
8184,Mandarin
8185,Not Available
8186,Not Available
8187,Fruit
8193,Not Available
8194,"Citrus, Fat, Lily"
8205,Not Available
8207,Not Available
8209,Not Available
8222,Not Available
8257,Not Available
8294,Fruit
8298,"Mint, Cool"
8299,"Butter, Herb, Malt, Pungent"
8314,"Butter, Cheese, Fermented, Sour"
8347,Floral
8361,Not Available
8363,Honey
8365,Not Available
8369,Not Available
8375,Not Available
8400,Floral
8403,Not Available
8405,Not Available
8418,Not Available
8419,Floral
8432,Fruit
8438,Anise
8452,"Mint, Cool"
8456,Not Available
8467,Floral
8468,"Astringent, Vanilla"
8469,Fruit
8471,Not Available
8499,Fruit
8500,"Bitter Almond, Floral, Fruit, Spice"
8615,Floral
8635,"Flower, Honey, Peach"
8655,Floral
8658,Floral
8712,Savory
8723,"Fish Oil, Green, Malt, Onion, Wine"
8738,Dairy
8748,Must
8763,Savory
8767,Floral
8785,Fruit
8792,"Floral, Mint"
8794,Not Available
8797,Floral
8815,"Anise, Licorice"
8821,Not Available
8833,Floral
8834,Fruit
8835,"Fruit, Rose"
8842,"Citrus, Green, Rose"
8857,"Aromatic, Brandy, Grape"
8858,Not Available
8863,Floral
8868,Onion
8878,"Banana, Wine"
8883,Not Available
8892,"Cheese, Oil, Pungent, Sour"
8900,Not Available
8907,Not Available
8908,"Apple, Banana, Grass, Herb, Pear"
8914,"Fat, Floral, Green, Oil"
8918,Fruit
9012,Savory
9016,Green
9017,"Dust, Floral, Fragrant, Rose"
9020,Not Available
9024,Floral
9025,Spice
9256,Pyridine
9261,Not Available
9473,Floral
9589,Savory
9609,"Coffee, Meat"
9862,"Citrus, Mushroom, Pepper, Rubber, Strawberry"
9895,Not Available
10037,Not Available
10106,"Cool, Spice"
10225,Not Available
10231,Not Available
10281,Not Available
10282,Herb
10329,Not Available
10341,Not Available
10362,Floral
10364,"Caraway, Spice, Thyme"
10402,Floral
10405,Not Available
10408,Not Available
10430,"Cheese, Pungent"
10448,"Earth, Garlic, Potato, Soy"
10452,Not Available
10453,Not Available
10484,Savory
10558,Savory
10582,"Mint, Cool"
10657,Not Available
10659,Not Available
10698,Not Available
10703,Not Available
10778,Fruit
10795,Not Available
10797,Not Available
10812,Not Available
10817,Floral
10819,"Fat, Green, Pungent"
10823,Nuts
10873,Fruit
10882,"Apple, Dry Fish, Herb, Nut, Yeast"
10883,Fruit
10885,Fruit
10886,"Floral, Fresh, Rose"
10890,Banana
10895,Fruit
10902,Savory
10925,Savory
10927,Nuts
10931,Green
10943,Not Available
10947,Floral
10957,Floral
10966,Savory
10976,"Citrus, Earth, Fried, Mushroom, Oil"
10979,Not Available
11002,Green
11005,"Burnt, Cheese, Harsh, Oil"
11006,Not Available
11038,Floral
11039,"Flower, Fruit"
11086,Not Available
11124,"Fruit, Rum"
11142,Not Available
11160,"Apple, Fruit, Pineapple"
11167,Savory
11173,"Cooked Nut, Fruit, Herb, Oil"
11176,Fruit
11230,"Earth, Must, Nutmeg, Wood"
11335,"Cresol, Phenol"
11340,Floral
11363,Savory
11370,Spice
11419,"Mint, Cool"
11449,Green
11461,Spice
11463,Pine
11468,Not Available
11508,Fruit
11509,Grape
11514,Fruit
11520,Herb
11523,Not Available
11525,Not Available
11527,"Citrus, Moss, Mushroom, Nut, Oil"
11529,"Red Fruit, Strawberry"
11552,Not Available
11559,Floral
11567,"Mint, Cool"
11576,Fruit
11579,Fruit
11613,"Green, Pungent, Sulfur"
11614,Fruit
11617,Savory
11622,Savory
11635,Not Available
11686,Not Available
11732,Not Available
11747,Not Available
11902,Fruit
11982,Savory
12020,"Butter, Fish, Green, Oxidized, Wet Earth"
12025,Not Available
12041,Floral
12044,Fruit
12072,Not Available
12097,Not Available
12105,Not Available
12146,Fruit
12150,Not Available
12170,Fruit
12178,"Solvent, Spice, Wine"
12180,"Apple, Banana, Cheese, Ester, Floral"
12206,Fruit
12209,"Apple, Banana, Pear"
12230,"Garlic, Sulfur"
12232,"Cabbage, Garlic, Onion"
12247,Not Available
12256,Not Available
12257,Fruit
12264,Not Available
12266,Savory
12278,Fruit
12293,"Berry, Fruit, Petrol, Pineapple, Roasted Garlic"
12294,"Fruit, Grass, Green"
12327,"Coconut, Cognac"
12344,Dairy
12366,Wax
12367,Cucumber
12377,"Cooked Meat, Garlic, Onion, Pungent, Sulfur"
12388,Not Available
12389,Not Available
12391,Not Available
12395,Not Available
12397,Not Available
12398,Not Available
12401,Not Available
12403,Not Available
12406,Not Available
12506,Savory
12507,Not Available
12508,Fruit
12518,Savory
12523,Not Available
12529,Fruit
12530,Not Available
12534,Not Available
12566,Spice
12570,Not Available
12571,Fruit
12578,Spice
12580,Not Available
12581,Not Available
12587,Floral
12592,Not Available
12613,Green
12729,Green
12741,"Fat, Fruit"
12748,"Green, Nut, Roasted Meat"
12756,Onion
12777,"Coconut, Peach"
12779,Savory
12780,Spice
12810,Coconut
12813,"Fat, Fruit, Lactone, Peach"
12844,Fruit
12997,Not Available
13016,Savory
13187,"Fragrant, Fruit, Green, Hot Milk"
13204,Spice
13233,"Camphor, Earth, Sulfur"
13357,"Apple, Fruit, Green Apple, Strawberry"
13367,Savory
13436,Savory
13561,Not Available
13572,Not Available
13576,Fruit
13587,Not Available
13621,Not Available
13654,Fruit
13849,Not Available
13854,Not Available
14079,"Bread, Cocoa, Hazelnut, Licorice, Walnut"
14092,Not Available
14104,Floral
14228,"Green, Herb, Oil"
14286,"Popcorn, Roasted Nut"
14295,Floral
14296,"Cocoa, Coffee, Green, Mocha, Roast"
14475,Dairy
14489,Putty
14491,Savory
14493,Savory
14504,Nuts
14505,"Balsamic, Cocoa, Coffee"
14511,Savory
14514,"Nut, Vegetable"
14529,Not Available
14896,"Pine, Polish, Wood"
14922,Not Available
14928,Not Available
14950,Not Available
15037,"Cocoa, Green, Roast"
15172,Fruit
15268,Not Available
15269,Not Available
15286,Not Available
15336,Fruit
15380,"Garlic, Sulfur"
15394,"Fish, Green, Mustard, Pungent"
15406,"Camphor, Lemon"
15422,Savory
15448,Fruit
15450,Not Available
15504,Not Available
15510,Savory
15571,Not Available
15600,Not Available
15606,"Coconut, Floral, Fruit"
15654,"Cocoa, Fat, Nut, Popcorn, Roast"
15717,Floral
15877,Savory
15979,Not Available
16237,"Flower, Honey"
16255,Fruit
16315,Savory
16324,Fruit
16330,Spice
16331,Fruit
16418,Savory
16441,"Cherry, Fat, Green, Pungent, Sour, Spice"
16537,"Citrus, Herb"
16582,Fruit
16590,Garlic
16591,Green
16592,"Onion, Penetrating, Sulfur"
16617,"Anise, Fruit, Spice"
16666,"Mint, Cool"
16741,Green
16800,Fat
16821,"Apricot, Flower, Fruit, Peach"
16832,Fresh
16835,Not Available
16846,Fruit
16872,Fruit
16997,Not Available
17000,Floral
17008,Fruit
17016,Not Available
17029,Dairy
17100,"Anise, Fresh, Mint, Oil"
17121,Not Available
17129,"Apple, Berry, Rum"
17356,Savory
17525,"Apple Peel, Citrus, Fresh"
17586,Floral
17617,Pineapple
17623,Fruit
17691,Fruit
17739,"Clove, Phenol"
17816,Fruit
17898,Not Available
17899,Not Available
18467,Nuts
18522,Nuts
18554,"Butter, Caramel"
18635,"Cooked potato, Soy"
18686,Fruit
18698,Dairy
18815,Not Available
18818,Not Available
18827,"Cucumber, Earth, Fat, Floral, Mushroom"
18938,Green
19089,Floral
19137,Fruit
19188,Not Available
19233,Not Available
19309,"Burnt, Caramel, Cotton Candy, Honey"
19310,"Cabbage, Fish, Onion, Sulfur"
19315,Not Available
19602,"Butter, Floral, Fruit, Green Bean"
19603,Not Available
19707,Savory
20083,"Fat, Mushroom"
20149,Not Available
20219,Fruit
20357,Green
20358,Fruit
20487,Dairy
20499,Not Available
20534,Wet Hay
20653,Dairy
20748,"Ester, Fruit"
20799,Green
20819,Not Available
20861,Not Available
20928,Green
20995,"Fruit, Wood"
21057,Savory
21059,Fruit
21108,Baked
21265,Fruit
21363,Floral
21574,Green
21596,Fruit
21625,Savory
21648,"Citrus, Raspberry"
21712,Not Available
21828,Sulfur
21895,Floral
22201,"Caramel, Cocoa, Hazelnut, Peanut Butter, Roasted"
22310,Floral
22311,Not Available
22383,Garlic
22386,"Fusel Oil, Green"
22873,"Apple Peel, Peach, Plum"
23110,Savory
23235,Savory
23367,Fruit
23535,Floral
23642,Savory
24020,"Apple, Ester, Green Apple, Kiwi, Strawberry"
24114,Dairy
24115,Dairy
24116,Green
24117,Fruit
24197,Brown Sugar
24433,Fruit
24456,Not Available
24473,Spice
24510,Floral
24513,Fruit
24515,Fruit
24516,Green
24583,Floral
24699,Dairy
24748,Not Available
24834,Floral
24835,Heat
24838,Strawberry
24874,Not Available
24915,Floral
24968,Not Available
25311,Not Available
25611,Green
25793,Not Available
25915,"Fruit, Green"
26049,Lemon
26058,Not Available
26204,Fruit
26331,"Burnt, Green, Iron Scorch, Must, Peanut Butter, Roasted, Rum, Wood"
26332,"Green, Nuts, Roasted"
26333,Green
26334,Not Available
26335,Savory
26808,"Cocoa, Earth, Must, Potato, Roast"
27208,Not Available
27209,Fruit
27440,Savory
27457,"Green, Must, Nut, Potato, Roasted"
27458,"Cereal, Hazelnut, Meat, Nut"
27866,Green
27867,Not Available
27892,Not Available
28905,"Earth, Meat, Potato, Roast"
28906,"Baked, Cocoa, Roast, Rum"
29025,Green
29995,Not Available
30215,Not Available
30231,Not Available
30248,"Camphor, Mint"
30771,Floral
30914,"Roast, Roasted Corn, Toasted Cereal"
30945,Not Available
31209,Fruit
31210,Floral
31211,Heat
31219,Fruit
31225,Floral
31226,Floral
31229,Not Available
31231,Herb
31234,"Arise, Cinnamon, Fruit"
31237,Not Available
31242,"Leather, Phenol, Spice, Stable"
31244,"Almond, Anise, Mint"
31245,Green
31246,Fruit
31249,"Cotton, Fabric, Floral, Fruit, Wine"
31251,Floral
31252,"Cocoa, Roast Beef, Roasted Nut"
31253,"Balsamic, Fruit, Geranium, Herb, Must"
31256,Not Available
31260,"Burnt, Cocoa, Floral, Malt"
31264,Not Available
31265,"Apple Peel, Brandy, Fruit Gum, Overripe Fruit, Pineapple"
31266,Pineapple
31268,Not Available
31272,"Apple, Banana, Glue, Pungent"
31276,"Apple, Banana, Glue, Pear"
31278,Dairy
31283,Wax
31284,"Fat, Orris"
31289,"Fat, Floral, Green, Lemon"
31291,Not Available
31340,Not Available
31353,Floral
31404,Toasted Cereal
31408,Not Available
31492,"Green, Mold, Wood"
32033,Savory
32065,"Nuts, Peanut, Roast"
32093,Not Available
32594,"Bell Pepper, Earth, Green Pepper, Spice"
33022,Not Available
33032,Savory
33166,Not Available
33637,"Flower, Walnut, Warm"
33645,"Durian, Sulfur"
33931,Not Available
33934,Not Available
33960,Dairy
34134,Cucumber
34286,"Fried, Nut, Potato, Roasted Meat"
34590,Savory
34645,"Mint, Cool"
35349,Green
35821,Fruit
36225,Savory
36822,Savory
37109,Not Available
38679,Onion
41569,Meat
41570,Savory
42011,Fish
43046,Savory
43263,Fruit
43579,Savory
43598,Savory
47649,"Cooked Meat, Nut, Thiamin"
53654,Not Available
60968,Floral
60979,"Anise, Fennel"
60983,Dairy
60985,"Fruit, Rose"
60990,Green
60995,Floral
60997,Floral
60998,Honey
60999,Floral
61005,Fruit
61006,Fruit
61007,Floral
61010,Floral
61014,Floral
61015,Oil
61016,"Fruit, Green, Melon"
61020,"Almond, Roasted"
61024,Fruit
61027,Fruit
61030,Fruit
61031,Not Available
61035,Dairy
61040,"Citrus, Coriander"
61041,Herb
61045,Savory
61048,Fruit
61050,Floral
61051,Not Available
61052,Floral
61054,Fruit
61079,Not Available
61085,Fruit
61092,Fruit
61093,Floral
61096,Fruit
61098,Fruit
61124,Not Available
61126,Green
61130,"Mint, Cool"
61134,Floral
61135,Fruit
61137,Fruity
61138,Dairy
61151,Floral
61153,Not Available
61155,Floral
61156,Green
61159,Green
61166,"Floral, Spice"
61171,"Coffee, Fruit, Sulfur"
61177,Fruit
61183,Fruit
61184,"Fruit, Pungent"
61185,Floral
61192,Savory
61199,"Curry, Honey, Spice"
61200,Not Available
61202,Green
61204,Peach
61206,Fruit
61209,Not Available
61217,Not Available
61229,Floral
61235,Floral
61240,Savory
61243,Not Available
61252,Savory
61260,"Popcorn, Roast"
61261,Savory
61262,Floral
61270,Not Available
61275,"Flower, Oil"
61282,Savory
61284,Fruit
61290,Floral
61293,"Floral, Fresh, Fruit, Passion Fruit, Rubber"
61294,Fruit
61295,Savory
61296,Fruit
61302,Floral
61303,Green
61304,Fruit
61319,Fruit
61325,"Bread Crust, Butter, Caramel, Floral, Fruit"
61331,Floral
61334,Caramel
61337,Fruit
61341,Nuts
61342,Fruity
61346,"Earth, Mushroom"
61359,Green
61361,Green
61362,"Mint, Cool"
61367,Not Available
61375,Fruit
61384,Fruit
61385,Not Available
61386,Mouthfeel
61400,Savory
61401,Fruit
61402,Heat
61403,Green Leaf
61404,Dairy
61405,Pineapple
61406,Fruit
61407,"Apricot, Fruit, Peach, Pineapple"
61408,Nut
61410,Green
61412,Fruit
61415,Fruit
61416,"Herb, Honey, Rose, Warm"
61417,Fruit
61431,Floral
61434,Floral
61435,Floral
61446,Floral
61447,Fruit
61448,Fruit
61450,Fruit
61451,Green
61452,Fruit
61453,Green
61455,Fruit
61457,Fruit
61464,Green
61466,Fruit
61502,Savory
61516,Floral
61517,Green
61523,Floral
61524,Floral
61527,Savory
61585,Floral
61586,Not Available
61590,Savory
61592,Not Available
61633,Floral
61634,Savory
61641,"Cabbage, Garlic, Radish, Spice, Sulfur, Tropical Fruit"
61653,"Cocoa, Nut"
61656,Savory
61657,Savory
61658,Fruit
61659,Savory
61660,Roast
61661,Savory
61662,Savory
61663,Sulfur
61664,"Cabbage, Must, Onion"
61665,Floral
61670,Nuts
61700,Not Available
61712,Not Available
61715,Not Available
61738,Fruit
61743,Dairy
61746,Floral
61771,"Mint, Cool"
61780,Fruit
61808,"Meat, Roast, Sulfur"
61809,Savory
61812,Not Available
61814,Fruit
61829,Savory
61834,Dairy
61835,Fruit
61840,Savory
61845,Savory
61874,Not Available
61875,Fruit
61914,Fruit
61918,Savory
61922,Fruit
61926,Savory
61935,Not Available
61936,Savory
61942,"Mint, Cool"
